Headline,News
Saudi Arabias Real Production Capacity Is 15 Million Bpd Possible.html,"As the OPEC+ group prepares to roll back all production cuts by the end of next month, analysts and the market are searching for the answer to the million-dollar question shrouded in mystery: How much more oil can Saudi Arabia actually produce? And how much into spare capacity is the world’s top crude oil exporter willing to tap? Most analysts say that the UAE and Saudi Arabia are unlikely to tap much into their spare capacity regardless of the U.S. push for more oil. After all, a razor-thin global capacity cushion would make supply shocks even more shocking.  But the mystery surrounding Saudi Arabia’s actual oil capacity is just waiting to be unraveled–and has been for decades.  Following U.S. President Joe Biden’s trip to the Middle East, American officials expressed optimism that the Saudis and other Middle Eastern producers would take “a few more steps” to boost production. “There is additional spare capacity. There is room for increased production,” Amos Hochstein, the special presidential coordinator for international energy affairs, said on CBS’s Face the Nation on July 17, without elaborating. And going way back to 2005 when the specter of peak oil production was looming over the oil markets, Saudi Arabia itself assured the world that it could produce 15 million bpd for “decades”.  But the latest information coming out of Saudi Arabia is that it will not have additional capacity to increase production above the 13 million barrels per day (bpd) it has pledged to have by 2027, Saudi Crown Prince Mohammed bin Salman said earlier this month. “The Kingdom will do its part in this regard, as it announced an increase in its production capacity to 13 million barrels per day, after which the Kingdom will not have any additional capacity to increase production,” the Crown Prince said at an Arab summit in Jeddah attended by President Biden. 
 One could argue that Saudi Arabia professed to be able to pump 15 million bpd way back when just to ease market fears–and perhaps more importantly, domestic fears–that global production and Saudi Aramco production were nearing the peak. It was important for Aramco to present itself to Riyadh as a capable market player. In 2008, Saudi Aramco had to defend itself against allegations that the oil crisis was caused by OPEC’s lack of spare capacity. It did so by claiming that it could boost its capacity to produce 12.5 million bpd by the end of 2009–a figure that is well above what it is producing now. Aramco also claimed that it could boost that capacity to 15 million bpd should the market need it, explains Wael Mahdi for Arab News this week.   Related: Japan Signs Its Most Expensive Coal Supply Deal Ever  And there were details, as Wael points out. Saudi Arabia’s then-oil minister Ali bin Ibrahim al-Naimi said at the time that Aramco could achieve this 15 million bpd by increasing the output at the Zuluf, Safaniyah, Berri, Khurais, and Shaybah fields by 900,000 bpd, 700,000 bpd, 300,000 bpd, 300,000 bpd, and 250,000 bpd respectively.  But Saudi Arabia later walked this back, arguing that it was just one proposed scenario, and not an actual solid program. The plans to increase Khurais and Shaybah were realized, but instead of boosting Saudi Arabia’s overall production, it merely went towards maintaining its 12 million bpd capacity. That leaves Zuluf and Safaniyah, which could get Saudi Arabia to 13 million bpd, accounting for declines in other fields. Saudi Arabia is now professing to have limited spare capacity of just 13 million bpd, although they are not even saying they have that now, they are saying that they could have it in the near future. Of the two seemingly disparate claims, this is the more likely scenario than believing that Aramco could increase its capacity to 15 million bpd.  Still, according to Mahdi, “the surface facilities of Aramco can allow it to produce up to 15 million barrels a day.” Of course, this doesn’t mean maximum sustained capacity to pump oil at that rate; rather, it references the capacity to potentially process such volumes not necessarily pumped in a single day. Mahdi believes that “the world can still expect to see more oil from Saudi Arabia above the nameplate capacity”.   Analyst estimates about OPEC’s spare capacity vary. According to the IEA, the EIA, and OPEC, the cartel’s spare production capacity is around 3 million bpd. Some analysts, however, believe that the cartel has no more than 1 million bpd of spare capacity available. 
 “Saudi Arabia and OPEC+ have very limited spare capacity, and they have to manage it carefully,” Ben Cahill, senior fellow at the Center for Strategic and International Studies, told Bloomberg just before President Biden’s visit to the Middle East. Per the OPEC+ deal, the Saudi oil production target is at 11.004 million bpd for August. The Kingdom has rarely reached this level, and not for a sustained period of time. So, it’s not certain that the Saudis have the ability to pump even 11 million bpd on a sustainable basis.  Related: Saudi Aramco May Hike Flagship Crude Prices To Record High Over Benchmarks It’s even less certain that the Kingdom could quickly tap—if it wanted to—the 12 million bpd production capacity it has claimed it has.  But Saudi Arabia could boost oil supply to the market by drawing on its own stockpiles and by slashing direct crude burn at domestic power plants, thus freeing more crude oil for exports. Industry sources have recently told Energy Intelligence that Saudi Arabia expects to have freed up to 1 million bpd of oil for exports by 2030 by cutting its direct oil use in power generation as it looks to replace petroleum liquids with gas-powered generation and renewables. The Kingdom currently generates 51% of its electricity from petroleum liquids and 49% from natural gas. By 2030, the Saudis plan on having renewables and gas generate 50% each of its power needs.  That’s for the long term. In the near term, Saudi Arabia is unlikely to tap too deeply into its spare capacity, considering that it’s pretty much one of the world’s last two holders of spare reserves that can be brought online within 30 days.  Even if dwindling, global spare capacity will be needed in the coming months as the world—despite fears of economic slowdown—hasn’t yet felt the full extent of the EU embargo on Russian oil, which kicks in at the end of this year.  "
G7 Presses Ahead With Russian Oil Price Cap.html,"The G7 are pressing on with their price cap on Russian oil, targeting a date of December 5 for having a mechanism in place to achieve this, an anonymous senior G7 official told Reuters on Wednesday. December 5 is also the date that the EU's ban on Russian seaborne crude oil imports goes into effect. ""The goal here is to align with the timing that the EU has already put in place. We want to make sure that the price cap mechanism goes into effect at the same time,"" the official said.
 A price cap on Russian oil purchases would theoretically impede the intake of Russia's oil revenues that are funding its invasion of Ukraine. The price cap plan the G7 has cooked up, however, is not without its challenges. For starters, the Group of Seven richest economies has not yet spelled out how such a plan would work, such as how to enforce such a price cap. To be successful, the plan would need broad support from all major Russian crude buyers, including India and China. More importantly, it would need Russia to go along with the price cap—something Russia said it would not do. Nevertheless, the G7 is still hoping that setting a price cap that is above Russia's production costs would incentivize Russia to go along.
 Russian Deputy Prime Minister Alexander Novak already stated last week that Russia would not export oil to the market if the price cap was set below the cost of producing the oil. Just days after Novak's statement, Russia Central Bank head Elvira Nabiullina took it a step further: Russia would not sell oil to any country participating in any price cap, implying that even if the price cap were set above production costs, Russia would refuse to go along with the price cap plan by merely refusing to sell those countries any crude oil. Instead, Nabiullina said that Russia would sell oil only to the countries that don't enact a price cap."
Irans Oil Earnings Soar Despite Sanctions.html,"Iran’s oil industry seems to be going from strength to strength despite ongoing U.S. sanctions on Iranian energy, as governments worldwide look to secure their oil supplies in the face of global shortages and rising prices. Several heads of state have announced their intentions to increase the import of Iranian oil as Iran continues to boost production, largely ignoring U.S. sanctions, to ensure their energy supply. Considering Iran’s announcement that it saw a 580 percent increase in its oil and condensates income from March to July compared with the same period last year, it appears that U.S. sanctions are doing little to dissuade countries around the globe from purchasing Iranian energy. The country’s Minister of the Economy, Ehsan Khandouzi, stated: “Due to the increase in oil exports and our new budget's currency conversion rate, we saw a 580% increase in the treasury's income from the export of oil and condensate in the first four months of this year.”  Iran has been pumping oil funds back into its treasury with plans to rebuild its economy as its oil wealth increases. Nevertheless, the country is facing over 50 percent inflation, driving product and utility costs up. The Brent benchmark has increased from $76 per barrel this time last year to $104 per barrel now, meaning that Iran can be highly competitive with its oil prices to attract export partners while restoring its oil wealth.  In the face of energy insecurity, it seems that everyone wants some of Iran’s oil, with many state leaders deciding to ignore U.S. sanctions to import vital energy resources to maintain their reserves. Turkey’s president Recep Tayyip Erdogan announced this week that Turkey intends to boost its imports of both oil and gas from Iran following a meeting with President Ebrahim Raeisi in Tehran. Raeisi said that he hoped the two countries’ trade ties would triple in the coming years to reach $30 billion, following the meeting.  Meanwhile, the Finance Ministry of the Taliban stated last week that it had signed an agreement to decrease fuel prices, following a meeting in Iran to discuss oil purchases, and the price and transit of petroleum between the two states, as diesel increased by nearly 23 percent in June in Afghanistan. The Taliban intends to buy 350,000 tonnes of Iranian oil, starting this month. 
  Related: Battery Recycling: The Next Big Challenge For The EV Boom The most concerning of all of Iran’s oil trade allies is Russia. Vladamir Putin visited Tehran earlier this month for the second time since the Russian invasion of Ukraine following the signing of a $40 billion memorandum of understanding (MoU) between Russia’s state-owned Gazprom and the National Iranian Oil Company (NIOC). This is just the latest news of cooperation between the two countries.  Gazprom will be supporting the NIOC’s $10 billion Kish and North Pars gas fields, which are expected to produce 10 million cubic meters of gas per day. The MoU also outlines plans to increase pressure in the South Pars gas field for $15 billion and for Gazprom to support several Iranian LNG projects including export pipeline construction. This move is expected to give Russia greater control over Iran’s gas exports.  And, of course, Iran is continuing to deepen ties with its fellow victim of U.S. sanctions Venezuela. Iran and Venezuela have been working hand-in-hand over the last year to circumvent sanctions on their oil and gas industries as they try to rebuild their economies. China has continued to support the partnership, buying energy from both powers by using alternative routes and ghost ships to transport sanctioned oil. Venezuela agreed to trade its oil for Iranian condensate, which was in short supply and is needed to dilute its heavy crude. The first delivery arrived in January, with 2 million barrels of condensate being shipped to Venezuela's Jose terminal. 
 And this month, Iran decided it would be increasing crude shipments to Venezuela to support the productivity of its aging refineries and allow for domestic oil exports. This follows a May agreement for the two powers to renovate Venezuela’s El Palito refinery. State-owned Petróleos de Venezuela (PDVSA) expects to receive 4 million barrels of Iranian crude this month, up from 1.07 million barrels in June. This aim is to help PDVSA rebuild the stock of its exportable grade crude, Merey, which is favored by Asian refiners.  With countries around the globe facing rising oil prices and the fear of energy shortages, due in part to new sanctions on Russia, many governments are putting their energy security above respect for U.S. sanctions. If Iran can maintain its competitive oil prices, it seems likely that it will continue to quickly rebuild its oil industry over the next year and beyond."
US Remains Worlds Top Oil Producer And Consumer.html,"Earlier this month BP released its Statistical Review of World Energy 2022. The Review provides a comprehensive picture of supply and demand for major energy sources on a country-level basis. Each year, I do a series of articles covering the Review’s findings. In the previous article, I discussed the trends in global carbon dioxide emissions. Today, I want to cover the production and consumption of petroleum. Oil Demand Bounces Back For 2020, the Review reported the largest decline in oil1 consumption on record. After nine consecutive years of increase, the Covid-19 pandemic caused global consumption of crude oil to decline by more than 9% in 2020. Last year oil consumption bounced back by climbing 6% — the fastest rise since 1976. However, consumption remains 3.7% below the record level of 2019.  The United States remains the world’s top oil consumer, averaging 18.7 million BPD in 2021. This marked an increase of 8.7% from 2020 (reflected by “Change” in the table below). This was the sharpest increase for any country in the Top 10, but it is still 9% below the all-time high U.S. oil consumption level of 2005 (20.5 million BPD).
 China was the second-highest consumer at 15.4 million BPD. Over the past decade, U.S. oil consumption has increased by an average annual rate of 0.4%, while China’s average annual increase was more than 10 times higher at 4.8%.  Related: Dramatic Heatwave Threatens Uzbekistan’s Electric Grid Germany was notably the only country in the Top 10 that saw a demand decline in 2021.  U.S. Remains Oil Production Champion
 Despite the ongoing impact the pandemic has had on U.S. oil production, the U.S. remained the world’s top oil producer in 2021 at 11.2 million BPD.2 Russia and Saudi Arabia retained their positions at #2 and #3. Although oil companies around the world did begin to increase production during 2021, average production for the year fell for 6 of the Top 10 countries. This was a major driver behind the global surge of oil prices in 2021.  Note that these production numbers are for crude oil and lease condensate. The U.S. also leads all countries in the production of natural gas liquids (NGLs), which partially end up in the oil products supply chain. If NGLs are included, the U.S. has an even larger lead over Russia and Saudi Arabia. Footnotes"
High Oil Prices Spark A New Wave Of Exploration.html,"When the energy crisis hit a nadir two years ago, highly indebted American oil and gas companies quickly changed their playbook, adopting stricter cost discipline, cutting back on expensive drilling programs, and vowing to return more cash to shareholders in the form of dividends and buybacks. Luckily for them, the good times are here again, with high oil and gas prices helping to massively improve their balance sheets. However, many shale companies have so far been reluctant to go back to their trigger-happy drilling days, preferring instead to fall back on their dwindling stocks of drilled but uncompleted wells (DUCs) to keep going. Indeed, according to the  U.S. Energy Information Administration's latest Drilling Productivity Report, the United States' DUC tally plunged to 4,245 in June 2022, a sharp drop from 8,900 at its peak in 2019. The large decline in DUCs clearly shows that  U.S. oil companies are drilling much less, which does not bode well for revenue-starved oilfield services companies. It also does not help that oilfield services and drilling companies had some of the most high-risk debt during the crisis. But that could soon become a thing of the past if the latest announcement by OFS major Schlumberger Ltd (NYSE: SLB) is any indication. On Friday, the Houston, Texas-based company raised its full-year revenue guidance following a strong Q2, at which time it announced that ""growth was very broad across all dimensions."" Schlumberger says it now sees sales of ""at least"" $27B this year, good for an 18% increase from 2021, citing the biggest jump in demand for its services in more than a decade. Schlumberger says annual sales will rise the most in 11 years as energy security concerns outweigh recessionary fears among major oil explorers. ""Growth was broad-based, characterized by a favorable mix of exploration and offshore activity and the increasing impact of improved pricing, resulting in the largest sequential quarterly growth since 2010,"" CEO Olivier Le Peuch revealed during the company's earnings call. Schlumberger posted Q2 revenue growth of +42% to $1.53B in its North American market, while its international market recorded a +15% Y/Y expansion to $5.19B. Total revenue of $6.77B (+20.2% Y/Y) beat by $490M while GAAP EPS of $0.67 increased 86% sequentially and 123% year-on-year. Earlier, there were fears that OFS majors like Schlumberger, Halliburton (NYSE; HAL), and Baker Hughes (NASDAQ: BKR) would be among the first victims of the Ukraine crisis due to their sheer size and brand recognition. Indeed, Rystad Energy's head of energy services research Audun Martinsen told the Financial Times that their smaller peers were more likely to continue operating under the radar because they are not directly exploiting or exporting oil and natural resources. However, the latest set of results by SLB proves that these fears were unfounded.
 SLB stock has surged 8% after the announcement, bringing its year-to-date gains to 11.3%.  Source: The Financial Post  Source: Y-Charts Growing Production Schlumberger's robust growth is not an isolated case. Oil explorers across the globe are rapidly expanding the search for crude and natural gas on land and at sea. In the sector's most bullish forecast yet, Schlumberger compared the current era to the heady days of 2008 when oilfield contractors posted some of their best results in history thanks to high energy prices.  Related: IMF: Global Economy Heading Towards Worst Slowdown In 50 Years
 ""We believe the accelerating international upcycle not only has multiple years to run, but will also unfold even if crude prices pull back modestly,"" Scott Gruber, an analyst at Citigroup Inc., has written in a note to clients.  According to James West, an analyst at Evercore ISI, on the global scene, oil companies are expected to grow spending by 22% this year to $450 billion, marking the fifth-biggest annual expansion since 1985. Even better for investors, OilField Services, MLPs, Oil & Gas Producers, and Midstream are all trading at considerable discounts to their 2014 highs. OFS stocks are the most undervalued, with the sector trading at a massive 70%+ discount relative to the 2014 zenith.  Source: Nasdaq Drilling and well completions, along with pricing for those services, had been climbing higher, according to OFS companies, with oil workers also noting that job offers have been on the rise. Oilfield workers were some of the hardest hit demographic by the Covid-19 pandemic in 2020. Nationally, the oil and gas industry is estimated to have lost 107,000 jobs as per global consulting firm Deloitte, with an estimated 200,000 roughnecks losing their jobs at the height of the global lockdowns. According to trade group Energy Workforce & Technology Council (Council), U.S. oilfield jobs have been increasing over the past year. Meanwhile, pricing power has been returning in niches like high-spec onshore drilling rigs, with day rates for such U.S. rigs steadily climbing."
Libya Raises Oil Production To 11 Million Bpd.html,"Libya, plagued by port blockades and protests at oil facilities in recent months, has now managed to raise its oil production to 1.1 million barrels per day (bpd), the oil minister of the Tripoli-based government said in a text message sent to Reuters on Tuesday. Libya’s oil production has recovered in recent days after the country resumed oil exports last week. Last Wednesday, the first tankers arrived in Libya to load oil for export, ending a force majeure on key oilfields and ports that had been in place since April. The force majeure has severely crippled Libya’s oil exports in recent months, following weeks of protests and closures amid the new rift in Libya’s political class over who should be governing the country.
 The most recent rivalry is between Fathi Bashaga, the Prime Minister appointed by Parliament earlier this year, and Prime Minister Abdul Hamid Dbeibah, who was appointed last year through a process backed by the United Nations. Dbeibah refuses to cede power. Bashaga, backed by the east-based Parliament, is now based in Sirte in the east of Libya, while Dbeibah is based in Tripoli. Libya’s National Oil Corporation (NOC) also got a new chief, after Farhat Bengdara was appointed by Dbeibah last week to replace the long-term chairman of the state-oil firm, Mustafa Sanalla. The National Oil Corporation has said it plans to see oil output rates recover to 1.2 million bpd in less than a month.
 “The NOC is striving to increase production and bring it back to its normal rates of 1.2 million barrels per day in two weeks,” the company said last week after it announced production had jumped to 860,000 bpd after the force majeure on major export terminals was lifted.   Violence is still rife, however, which may interfere with these plans. The return of most of the Libyan oil—albeit far from certain that this time export rates would remain stable—is good news for the tight physical crude market globally amid altered crude flows following the sanctions on Russia over the invasion of Ukraine."
East African Governments Clash With Environmentalists Over New Oil Pipeline.html,"East Africa seems to be split in favour of and against the East African Crude Oil Pipeline (EACOP) being built in Uganda and Tanzania. Environmentalists are concerned about the damage the pipeline and the development of an oil and gas industry could cause to the countries. But the governments of the East African states are hopeful about how the industry could support their economies, as oil majors look to Africa to develop new, low-carbon oil operations.  In 2015, French oil major Total (now TotalEnergies) and China National Offshore Oil Corporation (CNOOC) agreed on a memorandum of understanding (MoU) with the two governments to develop a 1,443km-long pipeline for the transportation of oil from Uganda to Tanzania’s Port of Tanga for export.  Uganda’s President Yoweri Museveni strongly supports the expansion of the country’s oil industry, seeing the resource as something that should be developed nationally to support the economy while the global demand is high. The $10 billion development includes the construction of EACOP, the Kingfisher Lake Albert project and Tilenga, the Murchison Falls project. One of the most controversial areas of the project is the planned construction of 10 well pads, a feeder pipeline, and a refinery in and around the Murchison Falls national park, with the potential to be the first oil project within a protected area in East Africa.  Uganda expects to have an output of 230,000 bpd of oil by 2025. The construction of the pipeline will make it easier to transport crude from Uganda to the non-oil-producing state of Tanzania, and for it to be exported to other countries. Ghana and the Democratic Republic of Congo are now looking to Uganda to see how it cultivates its oil sector to learn from in the development own energy industries.  Several political leaders in the region see the development of their oil and gas industries as a means toimprove energy security and support their national economies, to reduce poverty. In addition, after years of resource exploitation from foreign powers, many governments recognise the fleeting potential of oil exploration and production at the national level. Oil majors around the globe are now looking to expand their low-carbon oil operations into new regions that will support the longevity of their production, and it is Africa’s time to shine and profit. 
 Some suggest that the benefits of the construction of EACOP could be far-reaching, supporting the aim to bring an end to energy poverty in Africa by 2030, and encouraging job creation, local community empowerment, and wider socio-economic growth. The development of the two countries’ oil industries is expected to encourage a 60 percent increase in foreign direct investment and encourage development in other sectors.  The Executive Chairman of the African Energy Chamber (AEC), NJ Ayuk, explains “Ugandans and Tanzanians should not have to pay the price for western, developed nations. It makes no sense to oppose the construction of the pipeline. If EACOP fails, there will be no guarantee of employment, with a lot of the population remaining energy poor for years to come, and investment directed towards East African exploration will dry up. Africa does not deserve this. Africa deserves the rights to develop its resources and that includes the EACOP.” Targeting environmentalists, he also said, “Stop disrupting Africa's development and let's use the EACOP and every other oil and gas project on the continent to drive Africa into a new era of energy and economic success.”  Related: SEC Investigates Coinbase Over Securities Listings But not everyone agrees with this point of view. There are far-reaching environmental concerns around the development of not only EACOP but Uganda’s oil industry in general. NGOs worry that EACOP could lead to the displacement of thousands, destroy farmland, and devastate ecosystems across the region. In addition, there are fears of water contamination in the Lake Victoria Basin, which delivers water to over 40 million people. Further, the pipeline is expected to lead to the emissions of 34 million tonnes of CO2 annually, a seven-fold increase on Uganda’s current emissions.  
 The StopEacop movement, based in Nairobi, and supported by 260 civil society organizations, aims to raise awareness around the potential negative effects of the pipeline development. The group has successfully reached out to many potential funders of the project to dissuade them from investing in EACOP, including HSBC, BNP Paribas and Swiss Re and, most recently, Deutsche Bank. Environmentalists have attacked net-zero pledges made by many potential investors, pointing out that the development of EACOP would be contradictory to their climate promises and could therefore damage their reputation.  While politicians and other public figures support the development of EACOP, to support economic development across the East African region, thousands of environmentalists across the region and the world oppose the development due to climate concerns. But with ongoing worries around energy security, is pressure from NGOs and famous activists enough to stop the pipeline from going ahead?"
Traders Are Betting On The End Of The Oil Price Slump.html,
Gulf Producers Hike Crude Prices Despite Recession Fears.html,"In hindsight, June 2022 might go down as the last month when the markets at large were still yet to go into full panic, acknowledging economic recession as a necessity but not yet succumbing to a spiral of fear and agitation. The pricing of August-loading grades coming from the Middle East still reflects that feeling when China was still expected to finally come back from its lockdown-induced demand slump when the global shortage of supply still kept market fundamentals extremely tight. As we will see below, August 2022 will see many grades reach their highest-ever market differential. It is more than likely that even in the following month the seemingly incessant appreciation of crude will continue – just looking at futures curves right now, with front months being around $100 per barrel, indicates an even more distressing picture than before the crude sell-off. Yet the months following August will already have an additional psychological layer attached – everybody will be looking at signs and proofs of demand destruction taking place, making it difficult for Middle Eastern NOCs to be straightforwardly and unabashedly assertive with their prices.  Chart 1. Saudi Aramco’s Official Selling Prices for Asian Cargoes (vs Oman/Dubai average). Source: Saudi Aramco. Saudi Aramco lifted all its Asian formula prices for cargoes loading in August 2022, availing itself of steepening Dubai backwardation as the cash-to-futures spread moved up by another $2.30 per barrel. This put most Saudi grades close to the record highs we have seen in May, as could be seen with Arab Light, arguably the most important grade it markets, as the Saudi NOC priced it just below the $9.35 per barrel premium to Oman/Dubai. Despite the naphtha weakness coming from a continent-wide oversupply streak, the monthly hikes were even more marked for lighter grades - Arab Extra Light went up by $3.50 per barrel, making the $10.65 per barrel premium vs Oman/Dubai the highest since Aramco started issuing OSPs. Following reports that Saudi Aramco cut the July allocations of at least four Asian refiners, most of them located in China made sure that the upcoming month’s nominations were fully met.   Related: U.S. Oil Rig Count Unchanged As WTI Slumps Below $100 Chart 2. Saudi Aramco’s Official Selling Prices for Europe-bound cargoes (vs ICE Brent). Source: Saudi Aramco. Looking into Europe, Saudi Aramco opted for a clear delineation between heavy and light grades, just as it had done in Asia. The NW Europe differential for Arab Heavy, at a $2.6 per barrel discount to ICE Bwave, was simply rolled over from the previous month, whilst the lightest Saudi grade on offer, Arab Extra Light saw a $1.20 per barrel month-on-month hike to an $8 per barrel premium to Bwave. Apart from the overall tightness in European markets, stemming from the gradual shunning of Russian crude and products, the price increases must have also come from seeing Europe-bound June exports move to their highest monthly level in more than two years, at 750,000 b/d. As for Saudi exports in general, they have been declining for the second consecutive month. After the peak in April, they have lost more than 300,000 b/d in volume and dropped to 6.7 million b/d in June. Offsetting the decline in outright oil, exports in products have simultaneously increased, too, implying that Saudi Aramco refines more than previously thanks to Jizan, however the extent of product hikes so far lags the drop in crude.  Chart 3. ADNOC Official Selling Prices for July 2022 (set outright, here vs Oman/Dubai average).
 Source: ADNOC.  The UAE national oil company ADNOC set the August price of its benchmark light sweet grade Murban at $117.53 per barrel, up almost $8 per barrel compared to the previous month. For the first time since Murban started trading, its premium vs Dubai has moved above $2 per barrel, in fact, it soared to $4.7 per barrel in June. Whilst the market still values grades yielding a lot of light distillates, ADNOC’s medium sour grades such as Upper Zakum are still struggling – the latter’s differential to Murban dropped by another dollar, sinking to a $3.20 per barrel discount. In the meantime, ADNOC has been working to promote foreign investment into its oil and gas industry – with the Emirati company attracting some $65 billion already since 2016, the idea is still to attract as many partners as possible to ensure the fulfilment of the 5 million b/d production capacity target.  Chart 4. Iraqi Official Selling Prices for Asian cargoes (vs Oman/Dubai average). Source: SOMO. The Iraqi state oil marketer SOMO was toeing the line of Saudi Aramco in Asia, increasing its August formula prices by $1.20 and $0.55 per barrel for Basrah Medium and Basrah Heavy, respectively. In Europe, however, the Iraqi willingness to chart a separate course from Saudi Aramco is becoming ever more visible. Barring Arab Heavy, the Saudi NOC increased every single European formula price in August – in stark contrast to that, SOMO dropped all its OSPs. Whilst it should be mentioned, as usual, that SOMO is pricing its formula prices off Dated Brent, a spot market assessment issued by Platts, the contrary direction is nevertheless indicative of just how much the Iraqi state oil marketer wants to buck the trend of aggressive Saudi pricing. Basrah Heavy is a good example, with the August differential of Iraq’s heavy sour benchmark seeing another $1.75 per barrel decline to a $12.75 per barrel discount to Dated Brent, the steepest differential it has ever seen.  Chart 5. Iraqi Official Selling Prices for European cargoes (vs Brent Dated). Source: SOMO.  Iraq has been working towards expanding the export capacity of its southern ports and if one were to listen to its top federal officials, there would be a substantial increase in outflows starting from September. As things stand right now, the loading capacity of its Basrah port stands at 3.3 million b/d, to be more specific 1.1 million b/d for Basrah Heavy and 2.2 million b/d for Basrah Medium. The idea was to attain a 150,000 b/d increment by September, however, judging by recent SOMO utterances this has been revised to just 50,000 b/d. To a certain extent, the Iraqi federal authorities could play down the delays in project management, seeing the difficulties involved in maintaining production rates – just very recently, Baghdad lowered the production plateau target of its largest oil field Rumaila to 1.7 million b/d from 2.1 million b/d. Whilst the root cause of the downgrade lies in the project operators’ inability to maintain adequate water injection rates, it would not necessarily mean lower production in the now – the upgraded capacity ought to have served as Iraq’s spare capacity. 
 Chart 6. Iranian Official Selling Prices for Asia-bound cargoes (vs Oman/Dubai average). Source: NIOC. The Iranian national oil company NIOC increased its August formula prices going into Asia-Pacific by $0.50-$2.80 per barrel, effectively copying the changes made by Saudi Aramco. The $2.80 per barrel month-on-month increase of Iran Light (now at a premium of $8.90 per barrel) is a replica of pricing changes made to its peer Arab Light, keeping the spread between the two at $0.4 per barrel. However, as hard as NIOC might try, its formula prices are becoming increasingly academic – the arrival of Russian Urals into India and China have saturated the Asian crude market even further. According to media reports, the main export grade of the country, Iran Light, used to trade at a $5 per barrel discount to Oman/Dubai, however, now that there is more immediate competition around and the US continues to slap new rounds of sanctions on Iranian exports, the discounts provided by NIOC have doubled to double-digit figures on a per barrel basis.  Chart 7. Kuwaiti Super Light Official Selling Prices for Asian cargoes (vs Oman/Dubai average). Source: KPC. Kuwait’s state-owned oil company KPC has hiked the August-loading OSP of its flagship medium sour grade KEB by $1 per barrel, setting it at a $7.15 per barrel premium to Oman/Dubai. This is entirely in line with Saudi Aramco’s pricing of Arab Medium, the immediate peer of the Kuwait Export crude. Whilst the self-reported production figures coming from OPEC+ countries might raise a couple of eyebrows in terms of their correctness, Kuwait has been one of the two countries that have reportedly overproduced their June 2022 quota, churning out 2.73 million b/d on the back of a 2.72 million b/d target (the other overproducer is the UAE). Kuwaiti media reports have been focusing on soaring upstream costs in the Middle Eastern country, with average production costs almost doubling over the past decade, from $4.9 per barrel in 2012 to $8.5 per barrel right now. "
Will Russia Cut Natural Gas Flows To Europe.html,"Despite the fact that Nord Stream last week resumed operations after a 10-day maintenance period, analysts and European countries are bracing for further disruptions amid continued uncertainty about how much gas Russia will send via the pipeline to Germany.   Russia restarted gas supply via Nord Stream on Thursday, with flows resuming at around 40% of Nord Stream’s capacity, the level from before the maintenance after Russia slashed flows in June.  “Further disruptions are expected as Russia seeks to increase political and economic pressure on Europe as winter approaches,” Penny Leake, Research Analyst for Europe Gas and LNG at Wood Mackenzie, said, commenting on the restart of the Nord Stream pipeline.   “It remains unclear what Russia will do. There is a risk that Nord Stream flows will reduce below the 40% capacity seen before the maintenance,” Leake added.
 As of Monday, flows on the pipeline remained stable at around 40%, according to pipeline operators’ data cited by Reuters. But this could change as soon as Tuesday because Russia says it is due to send another turbine from a compressor station for maintenance.  Russian President Vladimir Putin said last week that Gazprom could cut natural gas flows to Europe via Nord Stream even more due to slow progress with the maintenance of the gas turbines at compressor stations. Another gas turbine is scheduled to be sent for maintenance on July 26, Putin said last Wednesday.  Related: U.S. Oil Rig Count Unchanged As WTI Slumps Below $100 On Monday, Kremlin spokesman Dmitry Peskov said that the turbine Siemens returned would be installed once all formalities are completed, but noted, ""We know that we have issues with other turbines, too, and Siemens is well aware of this.”
 If Nord Stream flows remain at around 40% capacity, the EU could be able to fill its gas storage to over 80% by November, WoodMac analysts say.  But if Nord Stream flows reduce to zero by August this year, Europe will only be able to refill its storage to 70-75% by the start of winter, risking some demand curtailments and deficient levels of gas in storage when winter ends. In case of a very cold winter in Europe and Asia, Europe could run out of gas in storage by February 2023, risking curtailment of 7% of total gas demand or 30-35% of all industrial demand in winter, Wood Mackenzie said. "
US SPR Releases Set To End This Fall.html,"The record-high release of crude oil from the U.S. Strategic Petroleum Reserve will end as scheduled this fall, the White House's Special Presidential Coordinator for International Energy Affairs Amos Hochstein told Yahoo Finance. ""We can't be an oil supplier. It's a reserve and so we have to keep that,"" Hochstein said, adding that he did not expect this to lead to price spikes because the oil industry was already preparing to increase production once the SPR release ended. ""There's a little bit of hysteria at the moment in the analysis of oil markets,"" Hochstein said, adding that he had had conversations with oil companies and had their word they would increase production to replace the oil that is currently coming out of the SPR.
 The plan, announced in April, saw a total of 180 million barrels of crude being released from the Strategic Petroleum Reserve to counter the inexorable increase in oil prices amid a tight market, at a rate of some 1 million bpd. Some of that oil reportedly ended up getting exported, including to China, which prompted some When the plan was announced, there were warnings that it could backfire, pushing prices higher instead of lower because the SPR would need to be replenished after this substantial draw. Currently, oil prices—and gasoline prices in the U.S.—are down, but this has less to do with the SPR release than with worry that the Fed will hike rates again and more sharply, which could in turn lead to a slowdown in economic growth. The supply environment remains tight.
 This might change, however, according to Hochstein, who told Yahoo Finance that several oil industry CEOs had assured him that they will be boosting production by a combined 800,000 bpd to 1 million bpd by the end of the year."
